ACCOUNT_NUM;FLG_202201;FLG_202202;FLG_202203;FLG_202204;FLG_202205;FLG_202206
19933;1;1;1;1;1;1
22020;0;0;0;1;1;1
21520;1;1;1;1;1;1
13730;1;1;1;1;1;1
6009;1;1;1;1;1;1
17078;1;1;1;1;1;1
20931;1;1;1;1;1;1
5223;1;1;1;1;1;1
8230;1;1;1;1;1;1
20028;1;1;1;1;1;1
2771;1;1;1;1;1;1
19500;1;1;1;1;1;1
22845;1;1;1;1;1;1
16942;0;0;0;0;0;1
20273;1;1;1;1;1;1
11070;1;1;1;1;1;1
22330;1;1;1;1;1;1
8400;1;1;1;1;1;1
3441;1;1;1;1;1;1
18457;0;0;0;0;1;1
18325;1;1;1;1;1;1
4812;1;1;1;1;1;1
7978;1;1;1;0;0;0
20010;1;1;0;0;0;0
3549;1;1;1;1;1;1
22535;1;1;1;1;1;1
9598;1;1;1;1;1;1
20729;1;1;1;1;1;1
7226;1;1;1;1;1;1
11592;0;0;1;1;1;1
19488;1;1;1;1;1;1
5495;1;1;1;1;1;1
22233;1;1;1;1;1;1
3450;1;1;1;1;1;1
60;1;1;1;1;1;1
868;1;1;1;1;1;1
16632;1;1;1;1;1;1
22420;0;0;0;0;1;1
540;0;0;0;1;1;1
20443;0;0;0;1;1;1
15016;1;1;1;1;1;1
14982;1;1;1;1;1;1
1554;1;1;1;1;1;1
1163;1;1;1;1;1;1
11606;1;1;1;1;1;1
18112;1;1;0;1;0;0
760;1;1;1;1;1;1
6998;1;1;1;1;1;1
15105;0;0;1;1;1;1
5096;1;1;1;1;1;1
1783;1;1;1;1;1;1
18503;1;1;1;1;1;1
6777;0;1;0;0;1;1
6351;1;1;1;1;1;1
17191;1;1;1;1;1;1
17698;0;0;0;1;0;1
2640;0;0;0;0;1;1
12475;0;0;0;0;1;0
2763;0;0;0;0;0;1
5770;0;0;0;0;0;1
8885;1;1;1;1;1;1
680;0;0;0;0;1;0
5347;1;1;1;1;1;1
21024;1;1;1;1;1;1
1570;1;1;1;1;1;1
4979;1;1;1;1;1;1
22047;1;1;1;1;1;1
19372;1;1;1;1;1;1
13056;1;1;1;1;1;0
15334;1;1;1;1;0;0
5320;1;1;1;1;1;1
23000;1;1;1;1;1;1
14877;1;1;1;1;1;1
14044;1;1;1;1;1;1
5762;1;1;1;1;1;1
18864;1;1;1;1;1;1
18694;0;0;0;1;0;0
6955;1;1;1;1;1;1
1708;1;1;1;1;1;1
4405;1;1;1;1;1;1
6874;1;1;0;0;0;0
10839;1;1;1;1;1;1
7250;1;1;1;1;1;1
1406;1;1;1;1;1;1
7196;0;0;1;1;1;0
817;0;0;0;0;1;1
21695;1;1;1;1;1;1
418;1;1;1;1;1;1
2623;1;1;1;1;1;1
558;1;1;1;1;1;1
17620;1;1;1;1;0;1
22411;1;1;1;1;1;1
1465;1;1;0;1;1;1
1210;1;1;1;1;1;1
10375;1;1;1;0;0;0
4200;1;1;1;1;1;1
18449;1;1;1;1;1;1
20966;1;1;1;1;1;1
1627;1;1;1;1;1;1
12823;1;1;1;1;1;1
23647;0;0;0;1;0;0
8915;0;0;1;0;0;0
4782;1;1;1;1;1;1
3506;1;1;1;1;1;1
5444;1;1;1;1;1;1
21601;1;1;1;1;1;1
9423;0;1;1;1;1;1
17612;0;0;0;1;0;0
1589;1;1;1;1;1;1
302;0;0;0;0;0;1
22098;1;1;1;1;1;1
1090;1;1;1;1;1;1
21423;1;1;1;1;1;1
12114;1;1;1;1;1;1
12343;1;1;0;1;1;1
2810;0;0;0;0;1;1
5037;1;1;1;1;1;1
6696;0;0;0;1;1;1
8664;1;0;0;0;0;0
8451;0;1;1;1;1;1
1325;1;1;1;1;1;1
9091;1;1;1;1;1;1
21393;1;1;1;1;1;1
7340;0;0;1;1;1;1
13820;0;0;0;0;1;1
10820;1;1;1;1;1;1
1520;1;1;1;1;1;1
22225;1;1;1;1;1;1
12050;1;1;1;1;1;1
21660;1;1;1;1;1;1
19160;1;1;1;1;1;0
13331;1;1;1;1;1;1
12645;0;0;0;1;0;0
833;1;1;1;1;1;1
8877;1;1;1;1;1;1
14770;1;1;1;1;1;1
21059;0;1;1;1;1;1
2020;0;0;0;0;1;1
16403;0;0;1;1;1;1
6556;0;0;0;1;1;1
14435;1;1;1;1;1;1
6980;0;0;0;0;1;0
15636;0;0;0;0;0;1
19917;1;1;1;1;1;1
16845;1;1;1;1;1;1
14567;1;1;1;1;1;0
17272;1;1;1;1;1;1
16985;1;0;1;1;0;1
10723;0;0;1;1;1;1
12513;0;0;0;0;0;1
1058;1;1;1;1;1;1
4111;1;1;1;1;1;1
21768;1;1;1;1;1;1
8532;1;1;1;1;1;1
1996;1;1;1;1;1;1
450;1;1;1;1;1;1
17639;1;1;1;1;1;1
18406;0;0;1;1;1;0
19046;0;1;1;1;1;0
19739;0;0;0;0;1;1
13650;0;0;0;0;1;0
13692;1;1;1;1;1;1
17930;1;1;1;1;1;1
18252;1;1;1;1;1;1
13307;1;1;1;1;1;1
11622;1;1;1;1;1;1
10170;1;1;1;1;1;1
16667;0;1;1;1;1;1
15490;1;0;1;1;1;1
13544;1;0;0;1;0;0
15067;0;0;1;1;1;0
22667;1;1;1;1;1;1
15814;1;1;1;1;1;1
22403;1;1;1;1;1;1
159;1;1;1;1;1;0
16152;1;1;1;1;1;1
19895;0;0;1;1;1;1
1597;1;1;1;0;0;0
22900;1;1;1;1;1;1
12076;1;1;1;1;1;1
8311;1;1;1;1;1;1
16462;1;1;1;1;1;1
8702;0;1;0;0;0;0
4715;1;1;1;1;1;1
3638;0;0;0;0;1;1
15768;0;0;0;1;1;1
14460;1;1;1;1;1;1
10677;0;0;0;1;1;1
1830;1;1;1;1;1;1
12270;1;1;1;1;1;1
20176;1;0;0;1;0;0
3204;1;1;1;1;1;1
10103;1;1;1;1;1;1
6424;1;1;1;1;1;1
11207;1;1;1;1;1;1
14168;1;1;1;1;1;1
8419;1;1;1;1;1;1
3719;1;1;1;1;1;1
15911;1;1;1;1;1;1
16683;1;1;1;1;1;1
167;1;1;1;1;1;1
18546;1;1;1;1;1;1
86;1;1;1;1;1;1
12440;1;1;1;1;1;1
8028;1;1;1;1;1;1
5932;1;0;0;0;1;0
9873;0;0;1;1;1;1
12599;1;1;1;1;1;1
17213;1;1;1;1;1;1
21334;0;0;1;1;1;1
4278;0;0;0;1;1;1
15687;0;0;0;1;0;0
2380;1;1;1;1;1;1
1546;1;1;1;1;1;1
20753;1;1;1;1;0;1
7838;1;1;1;1;1;1
22918;1;0;1;1;1;0
16780;1;0;0;1;1;1
5177;0;1;1;1;0;0
21130;1;1;1;1;1;0
4839;0;0;0;0;0;1
20575;1;1;1;1;1;1
11673;0;1;1;1;1;1
21997;1;1;1;1;1;1
12092;1;1;1;1;1;1
8834;1;1;1;1;1;1
11924;1;1;1;1;1;1
20397;1;1;1;1;1;1
8559;1;1;0;1;0;1
7943;1;1;1;1;1;1
12947;1;1;1;1;1;1
2461;0;0;1;1;1;0
20419;1;0;1;0;0;0
10383;1;1;1;1;1;1
3573;1;1;1;1;1;1
15539;1;1;1;1;1;1
6076;1;1;1;1;0;1
12530;1;1;1;1;1;1
12416;1;1;1;1;1;1
18350;1;1;1;1;1;1
23264;1;1;1;1;1;1
18104;1;1;1;1;1;1
2704;1;1;1;1;1;1
1015;1;1;1;1;1;1
14257;0;0;0;0;0;1
15970;0;0;0;1;1;1
51;0;0;0;0;0;1
4880;1;1;1;1;1;1
16470;1;1;0;1;1;1
17027;0;1;1;1;1;1
12025;1;1;1;1;1;1
18791;1;0;0;0;0;0
906;1;1;1;1;1;1
4340;1;1;1;1;1;1
13749;1;1;1;1;1;1
9237;1;1;1;1;1;1
16799;1;1;1;1;1;1
21466;0;0;1;1;1;1
10553;1;1;1;1;1;1
19984;0;1;1;1;1;0
19399;1;1;1;1;1;1
14818;1;1;1;1;1;1
22691;1;1;1;1;1;1
16730;1;1;1;1;1;1
9393;1;1;1;1;0;0
8800;1;1;1;1;1;1
3310;1;1;1;1;1;1
23051;0;0;0;0;1;1
15857;0;0;0;0;0;1
1848;0;0;0;1;1;1
20451;1;0;1;0;1;1
7277;1;1;1;1;1;1
5398;1;1;1;0;0;0
12084;0;0;0;1;1;1
22250;1;1;1;1;1;1
477;1;1;1;1;1;1
14311;0;0;1;1;1;1
7315;0;1;0;0;0;0
17124;1;1;1;1;1;1
2550;1;0;0;0;1;1
10863;1;1;1;1;1;1
9601;1;1;1;1;1;1
15245;1;1;1;1;1;1
22705;0;0;0;1;1;1
4960;0;0;0;0;1;1
21105;1;1;1;1;1;1
9415;1;1;1;1;1;1
14656;1;1;1;1;1;1
116;1;1;1;1;1;1
19593;1;1;1;1;1;1
21245;1;1;1;1;1;1
8591;1;1;1;1;1;1
11975;1;1;1;1;1;1
21539;1;1;1;1;1;0
1562;1;0;0;0;0;0
17167;1;1;1;1;1;1
884;1;1;1;1;1;1
2194;1;1;1;1;1;1
11940;1;1;1;1;1;1
3808;1;1;1;1;1;1
8583;1;1;1;1;1;1
15318;1;1;1;1;1;1
19429;0;1;1;1;1;1
6505;0;0;0;1;0;0
20257;0;0;0;0;0;1
19194;1;1;1;1;1;1
18660;1;1;1;1;1;1
5614;1;1;1;1;1;1
13587;1;1;1;1;1;1
10847;0;0;0;1;0;0
299;0;0;1;0;0;0
7242;1;1;1;1;0;1
1945;1;1;1;1;1;1
400;1;1;1;1;1;1
1104;1;1;1;1;1;1
19607;1;1;1;1;1;1
22365;1;1;1;1;1;1
17647;1;1;1;1;1;1
19658;1;1;1;1;1;1
4731;1;1;1;1;1;1
9555;1;1;1;1;1;1
20583;1;1;1;1;1;1
10782;1;1;1;1;0;0
4375;0;0;0;1;0;0
3565;1;1;1;1;1;1
442;0;0;0;1;1;1
12602;1;1;1;1;1;1
6726;1;1;1;1;1;1
8044;1;1;1;1;1;1
4766;1;1;0;1;0;1
2976;0;1;1;1;0;0
3964;1;1;1;1;1;1
22381;0;0;0;0;1;1
21016;0;0;1;1;1;1
9750;1;1;1;1;1;1
7803;1;1;1;1;1;1
17884;1;0;1;1;1;1
22497;1;1;1;1;1;1
5240;1;1;1;1;1;1
22926;1;1;1;1;1;1
15563;1;1;1;1;1;1
23280;1;1;1;1;1;1
7790;1;1;1;1;1;1
4600;1;1;1;1;1;1
21440;1;1;1;1;1;1
16004;1;1;1;1;1;1
8966;1;1;1;1;1;1
6521;1;1;1;1;1;1
16969;1;1;1;1;1;1
20834;1;1;0;1;0;1
21210;1;1;1;1;1;1
20818;1;0;1;1;1;1
1732;1;1;1;1;1;1
4499;1;1;1;1;1;1
11916;1;1;1;1;1;1
20613;0;0;0;1;1;1
3093;1;1;1;1;1;1
13870;1;1;1;1;1;1
574;1;1;0;1;1;1
9504;1;1;1;1;1;1
23078;1;1;1;1;1;1
17957;1;1;1;1;1;1
12629;1;1;1;1;1;1
23108;0;0;0;1;1;1
6904;1;1;1;1;1;0
2895;0;0;0;0;0;1
11258;0;0;0;0;1;1
20524;1;1;1;1;1;1
15890;1;1;1;1;1;1
3581;1;1;1;1;1;1
20680;1;1;1;1;1;1
7170;1;1;1;1;1;1
1180;0;0;1;1;1;1
15652;1;1;1;1;1;1
6599;1;1;1;1;1;1
2100;1;1;1;1;1;1
248;1;1;1;1;1;1
841;1;1;1;1;1;1
16918;1;1;1;1;1;1
3247;1;1;1;1;1;1
3832;0;0;1;1;1;0
9180;1;1;1;1;1;1
1031;1;1;1;1;1;1
19534;0;1;0;0;0;0
19569;1;1;1;1;1;1
698;1;1;1;1;0;1
18732;1;1;1;1;1;1
22993;1;1;1;1;1;1
19550;0;0;1;1;1;1
1864;0;0;0;1;0;1
5142;1;1;1;1;1;1
1392;1;1;1;1;1;1
20150;1;1;1;1;1;1
5908;0;0;0;1;1;1
15288;0;0;0;0;1;0
9741;1;1;1;1;1;1
16519;1;1;1;1;1;0
2879;0;0;0;1;1;1
4456;1;1;1;1;1;1
4545;1;1;1;1;1;1
7536;1;1;1;1;1;1
18970;1;0;0;1;0;0
3131;1;1;1;1;1;1
5355;1;1;1;1;1;1
17531;0;0;0;0;0;1
19216;1;1;1;1;1;1
16870;1;1;1;1;0;1
6220;1;1;1;1;1;1
12394;1;1;1;1;1;1
9032;0;0;0;1;1;1
2038;1;1;1;1;1;1
15008;0;1;1;1;0;1
14710;1;1;0;0;0;0
6467;1;1;1;1;1;1
20567;0;0;0;0;0;1
15377;1;1;1;1;1;1
1872;1;1;1;1;1;1
1643;1;1;1;1;1;1
1600;1;1;1;1;1;1
21067;0;1;1;1;1;1
3280;1;1;1;1;1;1
17752;0;0;1;1;1;1
23230;0;0;0;0;0;1
11053;1;1;1;1;1;1
1724;1;1;1;1;1;1
9148;1;1;1;1;1;1
16020;1;1;1;1;1;1
5967;1;1;1;1;1;1
1040;1;1;1;1;1;1
4332;0;0;0;1;1;1
728;1;0;0;0;0;1
310;1;0;1;1;1;1
4014;1;1;1;1;1;1
22837;0;0;0;1;1;0
15512;1;1;1;1;1;1
3735;1;1;1;1;1;1
8958;1;1;0;1;0;0
10391;1;1;1;1;1;1
1856;1;1;1;1;1;1
19410;0;0;0;1;1;1
14320;1;1;1;1;1;1
825;1;1;1;1;1;1
22780;1;1;1;1;1;1
7072;0;0;0;0;1;1
10146;1;1;1;1;1;1
3069;1;1;1;1;1;1
20826;1;1;1;1;1;1
8753;1;1;1;1;1;1
10065;0;0;0;0;0;1
9580;1;1;1;1;1;1
6122;1;1;1;1;1;1
1651;1;1;1;1;1;1
5401;1;1;1;1;1;1
15083;1;1;1;1;1;1
710;1;1;1;1;1;1
15210;1;1;1;1;1;1
787;1;0;0;0;0;0
19470;0;0;1;1;1;1
6947;0;0;0;0;1;1
1414;1;1;1;1;1;1
12726;1;1;1;1;1;1
13048;0;0;0;0;0;1
21008;1;1;1;1;1;1
8869;1;1;1;1;1;1
19380;1;1;1;1;1;1
6580;1;1;1;1;1;1
16268;1;1;1;1;1;1
23299;1;1;1;1;1;1
4243;0;0;0;0;0;1
5436;1;1;1;1;1;0
14729;1;1;1;1;1;1
16586;1;1;1;1;1;1
11371;1;1;1;1;1;1
14206;0;0;0;1;1;1
19127;1;1;1;1;1;1
7846;0;0;0;1;1;1
11347;1;1;1;1;1;1
17515;1;1;1;1;1;1
6017;1;1;1;1;1;1
22390;1;1;1;1;1;1
3484;0;0;0;1;1;1
19305;1;1;1;1;1;1
15830;0;0;0;0;0;1
19704;1;1;1;1;1;1
1449;1;1;1;1;1;1
21431;1;1;1;1;1;1
1937;1;1;1;1;1;1
12610;1;1;1;1;1;1
20427;1;1;0;1;0;1
20494;1;0;0;0;0;0
12173;1;1;1;1;1;1
14621;0;0;0;0;0;1
2798;1;1;1;1;1;1
